ev_id,regis_no,damage,acft_make,acft_model,acft_category,total_seats,num_eng,date_last_insp,owner_country,oper_name,dprt_apt_id,dprt_city,dprt_state,dprt_country,dprt_time,dest_apt_id,dest_city,dest_state,dest_country,ntsb_no,ev_type,ev_date,ev_dow,ev_time,ev_city,ev_state,ev_country,ev_site_zipcode,ev_year,ev_month,latitude,longitude,apt_name,light_cond,sky_cond_nonceil,sky_nonceil_ht,sky_ceil_ht,sky_cond_ceil,wind_vel_kts,altimeter,ev_highest_injury,inj_total,lchg_date,dec_latitude,dec_longitude,finding_code,finding_description,occurence_description
20130220X51849,N174UA,,BOEING,747-422,AIR,495,4,,USA,United Airlines,YSSY,Sydney,,AS,539,SFO,San Franscisco,CA,USA,WPR13LA131,ACC,2/19/2013,Tu,1500,Pacific Ocean,,UN,0,2013,2,201341N,1391211W,San Francisco International Ai,DAYL,UNK,0,0,UNK,78,29.92000008,SERS,221,9/25/2020,20.228055,-139.203048,303201581,Environmental issues-Conditions/weather/phenomena,Enroute-cruise Turbulence encounter
20130227X40543,N164HQ,,EMBRAER,ERJ 190-100 IGW,AIR,20,2,1/8/2013,USA,Republic Airlines,ISO,Kinston,NC,USA,1645,UTA,Tunica,MS,USA,ERA13CA147,ACC,2/24/2013,Su,2345,Tunica,MS,USA,38676,2013,2,034416N,0902052W,Tunica Municipal,DAYL,,0,0,,,0,SERS,4,9/25/2020,34.685001,-90.347778,102253011,Aircraft-Aircraft systems-Equipment/furnishings,Landing-landing roll Cabin safety event
20130312X23544,N417QX,MINR,BOMBARDIER,DHC-8-402,AIR,81,2,3/2/2013,USA,Horizon Air,SJC,San Jose,CA,USA,1908,BOI,Boise,ID,USA,WPR13IA144,INC,3/5/2013,Tu,1920,Danville,CA,USA,94526,2013,3,375022N,0122012W,Norman Y. Mineta San Jose Int,DAYL,CLER,0,0,NONE,13,30.03000069,NONE,51,9/25/2020,37.839443,-122.003334,105724005,Aircraft-Aircraft power plant-Engine (turbine/turboprop),Enroute-climb to cruise Fire/smoke (non-impact)
20130314X14422,N698DL,SUBS,BOEING,757-232,AIR,191,2,2/12/2013,USA,Delta Air Lines,KSNA,Santa Ana,CA,USA,2035,KATL,Atlanta,GA,USA,DCA13CA065,ACC,3/8/2013,Fr,21,Atlanta,GA,USA,30337,2013,3,333812N,0842540W,Hartsfield/Jackson,DUSK,CLER,0,0,,6,30.21999931,NONE,148,9/25/2020,33.636665,-84.42778,204101536,Personnel issues-Action/decision-Action-Incorrect action performance,Landing-flare/touchdown Tailstrike
20130405X10333,N12922,,EMBRAER,ERJ-145,AIR,,2,,USA,ExpressJet Airlines,,,,USA,,IAH,Houston,TX,USA,ENG13IA020,INC,3/29/2013,Fr,,Houston,TX,USA,77032,2013,3,029594N,0952029W,GEORGE BUSH INTERCONTINENTAL/H,NR,,0,0,,,0,,,9/25/2020,29.984443,-95.341392,102325002,Aircraft-Aircraft systems-Landing gear system,Landing-landing roll Loss of control on ground
20130502X52359,N17560,SUBS,EMBRAER,EMB-145LR,AIR,55,2,,USA,ExpressJet Airlines,EWR,Newark,NJ,USA,,BNA,Nashville,TN,USA,DCA13FA082,ACC,5/1/2013,We,2324,Newark,NJ,USA,7114,2013,5,404159N,0074957W,Newark Liberty International,DUSK,FEW,25000,0,,7,30.45000076,NONE,290,9/25/2020,40.699722,-74.165832,101092017,Aircraft-Aircraft handling/service-Towing and taxiing,Taxi-to runway Ground collision
20130511X04905,N913WN,MINR,BOEING,737-7H4,AIR,151,2,5/4/2013,USA,Southwest Airlines,PHX,Phoenix,AZ,USA,1607,RNO,Reno/Tahoe Intl,NV,USA,WPR13IA226,INC,5/10/2013,Fr,1607,Phoenix,AZ,USA,85034,2013,5,033262N,0112025W,Phoenix Sky Harbor Int'l,DAYL,CLER,0,0,NONE,,29.96999931,NONE,59,9/25/2020,33.433887,-112.006942,206301539,Personnel issues-Task performance-Use of equip/Communication,Pushback/tow-engine start-up Ground collision
20130517X14847,N327NW,,AIRBUS,320,AIR,159,2,5/9/2013,USA,Delta Air Lines,DTW,Detroit,MI,USA,1631,DFW,Dallas,TX,USA,DCA13CA091,ACC,5/9/2013,Th,1946,Dallas,TX,USA,75261,2013,5,325348N,0097213W,Dallas-Fort Worth,DAYL,FEW,9000,11000,OVC,10,29.95000076,SERS,120,9/25/2020,32.896667,-97.036941,202154532,Personnel issues-Psychological-Perception/orientation/illusion,Other Cabin safety event
20130614X14844,N995DL,SUBS,MCDONNELL DOUGLAS,MD-88,AIR,156,2,6/13/2014,USA,Delta Air Lines,BNA,NASHVILLE,TN,USA,1540,ATL,ATLANTA,GA,USA,DCA13CA106,ACC,6/13/2013,Th,1540,Nashville,TN,USA,37217,2013,6,036717N,0864025W,Nashville International,DAYL,SCAT,2800,3600,BKN,12,29.85000038,NONE,156,9/25/2020,36.121387,-86.673614,206304044,Personnel issues-Task performance-Use of equip/Communication,Taxi Ground collision
20130712X61436,N863DA,,BOEING,777-232,AIR,400,2,,USA,Delta Air Lines,OMDB,Dubai,,USA,1138,KATL,Atlanta,GA,USA,DCA13CA128,ACC,7/12/2013,Fr,938,Atlanta,GA,USA,30354,2013,7,335436N,0084459W,,NDRK,SCAT,3200,4800,BKN,,29.89999962,SERS,279,9/25/2020,33.909999,-84.083053,303202083,Environmental issues-Conditions/weather/phenomena,Enroute-descent Turbulence encounter
20130723X13256,N753SW,SUBS,BOEING,737 7H4,AIR,,2,,USA,Southwest Airlines,BNA,NASHVILLE,TN,USA,1933,LGA,Flushing,NY,USA,DCA13FA131,ACC,7/22/2013,Mo,2100,Flushing,NY,USA,11355,2013,7,404638N,0735221W,LA GUARDIA,DAYL,SCAT,3000,7500,BKN,8,29.85000038,MINR,149,9/13/2021,40.777221,-73.872497,106204020,Aircraft-Aircraft oper/perf/capability-Performance/control parameters,Landing-flare/touchdown Hard landing
20130930X75500,N449QX,,BOMBARDIER,DHC-8-402,AIR,80,2,9/23/2013,USA,Horizon Air,SEA,Seattle,WA,USA,1447,RNO,Reno,NV,USA,WPR13LA431,ACC,9/29/2013,Su,1622,Reno,NV,USA,89502,2013,9,392956N,0119465W,,DAYL,FEW,8000,15000,BKN,15,30.04000092,SERS,61,9/25/2020,39.498889,-119.768058,303201091,Environmental issues-Conditions/weather/phenomena,Approach Turbulence encounter
20131018X11441,N516NK,MINR,AIRBUS,A319 132,AIR,,2,,USA,Spirit Airlines,DFW,Dallas,TX,USA,1821,ATL,Atlanta,GA,USA,ENG14IA001,INC,10/15/2013,Tu,1951,Greenville,TX,USA,75401,2013,10,033124N,0096124W,DALLAS/FORT WORTH INTL,DAYL,UNK,0,0,UNK,0,0,NONE,150,9/25/2020,33.20111,-96.20111,105725006,Aircraft-Aircraft power plant-Engine (turbine/turboprop),Enroute-climb to cruise Powerplant sys/comp malf/fail
20131121X13345,N665UA,,BOEING,767 322,AIR,,2,8/21/2013,USA,United Airlines,SAEZ,Buenos Aires,,AR,2230,IAH,HOUSTON,TX,USA,DCA14CA014,ACC,10/18/2013,Fr,1000,Houston,TX,USA,77011,2013,10,294546N,0952259W,,NITE,CLER,0,0,NONE,70,0,SERS,228,9/25/2020,29.762777,-95.383056,303201583,Environmental issues-Conditions/weather/phenomena,Enroute-cruise Clear air turbulence encounter
20131224X22946,N360SW,MINR,BOEING,737 3H4,AIR,,2,,USA,Southwest Airlines,STL,ST LOUIS,MO,USA,,MCI,KANSAS CITY,MO,USA,ENG14IA005,INC,12/23/2013,Mo,2215,St. Louis,MO,USA,63145,2013,12,038451N,0902232W,ST LOUIS LAMBERT INTL,DAYL,,0,0,,,0,NONE,107,9/25/2020,38.750278,-90.375556,302204581,Environmental issues-Physical environment-Object/animal/bird,Takeoff Birdstrike
20140109X32656,N8327A,SUBS,BOEING,737,AIR,,2,,USA,Southwest Airlines,MCO,ORLANDO,FL,USA,,LAS,Las Vegas,NV,USA,DCA14CA034,ACC,1/4/2014,Sa,120,Las Vegas,NV,USA,89119,2014,1,036448N,0011598W,MC CARRAN INTL,NITE,,0,25000,BKN,7,29.89999962,NONE,180,9/25/2020,36.080001,-115.152221,204101544,Personnel issues-Action/decision-Action-Incorrect action performance,Landing-flare/touchdown Tailstrike
20140110X14059,N966WN,,BOEING,737 7H4,AIR,,2,,USA,Southwest Airlines,KIAD,Indianapolis,IN,USA,2132,KRSW,Fort Meyers,FL,USA,DCA14CA035,ACC,1/9/2014,Th,2330,Nashville,TN,USA,37214,2014,1,036736N,0864055W,,DUSK,,8000,15000,OVC,3,30.30999947,SERS,145,9/25/2020,36.126667,-86.681945,102253002,Aircraft-Aircraft systems-Equipment/furnishings,Enroute-cruise Cabin safety event
20140110X15754,N687DL,,BOEING,757 232,AIR,,2,,USA,Delta Air Lines,KJAX,Jacksonville,FL,USA,1120,KATL,Atlanta,GA,USA,DCA14CA036,ACC,1/10/2014,Fr,1200,Atlanta,GA,USA,30337,2014,1,033131N,0834828W,,NR,,0,400,OVC,7,30.25,SERS,141,9/25/2020,33.216945,-83.807777,303202083,Environmental issues-Conditions/weather/phenomena,Enroute-descent Turbulence encounter
20140112X11328,N272WN,,BOEING,737 7H4,AIR,,2,,USA,Southwest Airlines,KMDW,Chicago,IL,USA,2254,KBBG,Branson,MO,USA,DCA14IA037,INC,1/13/2014,Mo,10,Branson,MO,USA,65616,2014,1,363733N,0931344W,M. Graham Clark Downtown,NDRK,FEW,24000,0,NONE,12,29.70000076,NONE,131,6/14/2021,36.625831,-93.228889,204151036,Personnel issues-Action/decision-Action-Incorrect action performance,Approach Course deviation
