Claim Number,Date Received,Incident Date,Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item Category,Close Amount,Disposition
2.01407E+12,14-Jul-14,24-Jun-14,BOS,Boston (Logan) International Airport ,Southwest Airlines  ,Property Damage,Checked Baggage,Sporting Equipment & Supplies,$211.98 ,Approve in Full
2.01404E+12,1-Apr-14,23-Feb-14,SAN,San Diego International,UAL  ,Property Damage,Checked Baggage,Computer & Accessories,$211.00 ,Approve in Full
2.01402E+12,29-Jan-14,23-Jan-14,LGA,LaGuardia ,USAir  ,Property Damage,Checkpoint,Clothing,$210.00 ,Settle
2.01401E+12,8-Jan-14,20-Dec-13,SAV,Savannah International,Delta Air Lines  ,Property Damage,Checked Baggage,Home Decor; Other,$210.00 ,Settle
2.01405E+12,15-May-14,25-Apr-14,EWR,Newark International Airport,UAL  ,Passenger Property Loss,Checked Baggage,Audio/Video,$210.00 ,Settle
2.01407E+12,29-Jul-14,25-Jun-14,ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Other,$209.75 ,Approve in Full
2.01409E+12,21-Aug-14,27-Jul-14,RNO,Reno/Tahoe International,American Airlines  ,Property Damage,Checked Baggage,Cameras,$209.00 ,Approve in Full
2.01407E+12,21-Jun-14,8-May-14,LAX,Los Angeles International Airport ,Southwest Airlines  ,Passenger Property Loss,Checkpoint,Personal Accessories,$208.97 ,Settle
2.01405E+12,1-May-14,3-Apr-14,LAX,Los Angeles International Airport ,UAL  ,Passenger Property Loss,Checked Baggage,Cameras,$208.59 ,Approve in Full
2.01406E+12,4-Jun-14,10-Apr-14,LGA,LaGuardia ,American Airlines  ,Property Damage,Checkpoint,Clothing,$208.34 ,Settle
2.01407E+12,2-Jul-14,26-Feb-14,MSP,Minneapolis/ St.Paul International Airport,UAL  ,Passenger Property Loss,Checked Baggage,Personal Electronics,$207.62 ,Approve in Full
2.01409E+12,27-Aug-14,18-Aug-14,MCO,Orlando International Airport,Southwest Airlines  ,Passenger Property Loss,Checkpoint,Personal Accessories,$207.26 ,Settle
2.01405E+12,16-May-14,28-Apr-14,JFK,John F. Kennedy International,Delta Air Lines  ,Property Damage,Checkpoint,Personal Accessories,$207.00 ,Settle
2.01402E+12,6-Feb-14,30-Jan-14,DEN,Denver International Airport ,Jet Blue,Passenger Property Loss,Checked Baggage,Clothing; Cosmetics & Grooming,$206.84 ,Approve in Full
2.01401E+12,9-Jan-14,24-Dec-13,ALB,Albany International,Southwest Airlines  ,Property Damage,Checked Baggage,Other,$206.00 ,Settle
2.01403E+12,28-Feb-14,10-Nov-13,IAH,Houston - George Bush Intercontinental Airport,Lufthansa  ,Passenger Property Loss,Checked Baggage,Computer & Accessories,$205.48 ,Settle
2.01409E+12,9-Sep-14,29-Aug-14,ATL,Hartsfield-Jackson Atlanta International Airport,Frontier Airlines,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses; Personal Electronics,$205.42 ,Settle
2.01403E+12,18-Mar-14,28-Feb-14,IAH,Houston - George Bush Intercontinental Airport,UAL  ,Passenger Property Loss,Checked Baggage,Food & Drink,$205.32 ,Approve in Full
2.01404E+12,1-Apr-14,3-Mar-14,DEN,Denver International Airport ,Spirit Airlines,Property Damage,Checked Baggage,Home Decor,$205.08 ,Approve in Full
2.01402E+12,18-Feb-14,20-Jan-14,BRD,"Brainerd, MN",Delta Air Lines  ,Passenger Property Loss,Checkpoint,Clothing,$205.00 ,Approve in Full
2.01409E+12,25-Aug-14,13-Aug-14,SEA,Seattle-Tacoma International,Delta Air Lines  ,Passenger Property Loss,Checkpoint,Other,$204.72 ,Approve in Full
2.01411E+12,12-Nov-14,4-Nov-14,DEN,Denver International Airport ,Delta Air Lines  ,Property Damage,Checkpoint,Computer & Accessories,$203.91 ,Approve in Full
2.01402E+12,25-Feb-14,11-Feb-14,JFK,John F. Kennedy International,Carribean Airlines,Passenger Property Loss,Checked Baggage,Jewelry & Watches,$203.90 ,Approve in Full
2.01407E+12,14-Jul-14,24-Jun-14,IAH,Houston - George Bush Intercontinental Airport,UAL  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,$201.86 ,Settle
2.01408E+12,16-Jul-14,13-Jun-14,HNL,Honolulu International Airport,Delta Air Lines  ,Property Damage,Checked Baggage,Sporting Equipment & Supplies,$201.00 ,Settle
2.01401E+12,16-Jan-14,8-Jan-14,JFK,John F. Kennedy International,Lufthansa  ,Passenger Property Loss,Checked Baggage,Computer & Accessories,$200.00 ,Settle
2.01402E+12,5-Feb-14,18-Jan-14,ISP,"Long Island McArthur, Islip",Southwest Airlines  ,Property Damage,Checkpoint,Personal Electronics,$200.00 ,Settle
